,Strike,Maturity,Price,spot,maturity
0,27000,1/13/2023,1630,28275,0.13424657534246576
1,27250,1/13/2023,1444,28275,0.13424657534246576
2,27500,1/13/2023,1267,28275,0.13424657534246576
3,27750,1/13/2023,1100,28275,0.13424657534246576
4,28000,1/13/2023,945,28275,0.13424657534246576
5,28250,1/13/2023,800,28275,0.13424657534246576
6,28500,1/13/2023,669,28275,0.13424657534246576
7,28750,1/13/2023,550,28275,0.13424657534246576
8,29000,1/13/2023,444,28275,0.13424657534246576
9,29250,1/13/2023,352,28275,0.13424657534246576
10,29500,1/13/2023,273,28275,0.13424657534246576
11,29750,1/13/2023,207,28275,0.13424657534246576
12,30000,1/13/2023,154,28275,0.13424657534246576
13,30250,1/13/2023,112,28275,0.13424657534246576
14,30500,1/13/2023,79,28275,0.13424657534246576
15,30750,1/13/2023,55,28275,0.13424657534246576
16,31000,1/13/2023,37,28275,0.13424657534246576
17,31250,1/13/2023,25,28275,0.13424657534246576
18,31500,1/13/2023,16,28275,0.13424657534246576
19,31750,1/13/2023,10,28275,0.13424657534246576
20,32000,1/13/2023,5,28275,0.13424657534246576
21,32250,1/13/2023,3,28275,0.13424657534246576
22,32500,1/13/2023,1,28275,0.13424657534246576
23,27000,2/10/2023,1782,28260,0.21095890410958903
24,27250,2/10/2023,1603,28260,0.21095890410958903
25,27500,2/10/2023,1431,28260,0.21095890410958903
26,27750,2/10/2023,1268,28260,0.21095890410958903
27,28000,2/10/2023,1113,28260,0.21095890410958903
28,28250,2/10/2023,969,28260,0.21095890410958903
29,28500,2/10/2023,834,28260,0.21095890410958903
30,28750,2/10/2023,710,28260,0.21095890410958903
31,29000,2/10/2023,597,28260,0.21095890410958903
32,29250,2/10/2023,495,28260,0.21095890410958903
33,29500,2/10/2023,405,28260,0.21095890410958903
34,29750,2/10/2023,327,28260,0.21095890410958903
35,30000,2/10/2023,260,28260,0.21095890410958903
36,30250,2/10/2023,203,28260,0.21095890410958903
37,30500,2/10/2023,157,28260,0.21095890410958903
38,30750,2/10/2023,119,28260,0.21095890410958903
39,31000,2/10/2023,89,28260,0.21095890410958903
40,31250,2/10/2023,66,28260,0.21095890410958903
41,31500,2/10/2023,48,28260,0.21095890410958903
42,31750,2/10/2023,35,28260,0.21095890410958903
43,32000,2/10/2023,25,28260,0.21095890410958903
44,32250,2/10/2023,17,28260,0.21095890410958903
45,32500,2/10/2023,12,28260,0.21095890410958903
46,27000,3/10/2023,1923,28270,0.2876712328767123
47,27250,3/10/2023,1747,28270,0.2876712328767123
48,27500,3/10/2023,1577,28270,0.2876712328767123
49,27750,3/10/2023,1415,28270,0.2876712328767123
50,28000,3/10/2023,1261,28270,0.2876712328767123
51,28250,3/10/2023,1115,28270,0.2876712328767123
52,28500,3/10/2023,977,28270,0.2876712328767123
53,28750,3/10/2023,849,28270,0.2876712328767123
54,29000,3/10/2023,731,28270,0.2876712328767123
55,29250,3/10/2023,623,28270,0.2876712328767123
56,29500,3/10/2023,525,28270,0.2876712328767123
57,29750,3/10/2023,438,28270,0.2876712328767123
58,30000,3/10/2023,361,28270,0.2876712328767123
59,30250,3/10/2023,295,28270,0.2876712328767123
60,30500,3/10/2023,237,28270,0.2876712328767123
61,30750,3/10/2023,189,28270,0.2876712328767123
62,31000,3/10/2023,150,28270,0.2876712328767123
63,31250,3/10/2023,117,28270,0.2876712328767123
64,31500,3/10/2023,91,28270,0.2876712328767123
65,31750,3/10/2023,70,28270,0.2876712328767123
66,32000,3/10/2023,53,28270,0.2876712328767123
67,32250,3/10/2023,40,28270,0.2876712328767123
68,32500,3/10/2023,30,28270,0.2876712328767123
69,27000,4/14/2023,1872,28010,0.3835616438356164
70,27250,4/14/2023,1705,28010,0.3835616438356164
71,27500,4/14/2023,1544,28010,0.3835616438356164
72,27750,4/14/2023,1390,28010,0.3835616438356164
73,28000,4/14/2023,1244,28010,0.3835616438356164
74,28250,4/14/2023,1106,28010,0.3835616438356164
75,28500,4/14/2023,976,28010,0.3835616438356164
76,28750,4/14/2023,854,28010,0.3835616438356164
77,29000,4/14/2023,742,28010,0.3835616438356164
78,29250,4/14/2023,639,28010,0.3835616438356164
79,29500,4/14/2023,546,28010,0.3835616438356164
80,29750,4/14/2023,462,28010,0.3835616438356164
81,30000,4/14/2023,387,28010,0.3835616438356164
82,30250,4/14/2023,322,28010,0.3835616438356164
83,30500,4/14/2023,265,28010,0.3835616438356164
84,30750,4/14/2023,217,28010,0.3835616438356164
85,31000,4/14/2023,176,28010,0.3835616438356164
86,31250,4/14/2023,142,28010,0.3835616438356164
87,31500,4/14/2023,114,28010,0.3835616438356164
88,31750,4/14/2023,90,28010,0.3835616438356164
89,32000,4/14/2023,71,28010,0.3835616438356164
90,32250,4/14/2023,56,28010,0.3835616438356164
91,32500,4/14/2023,43,28010,0.3835616438356164
92,27000,5/12/2023,1973,28010,0.4602739726027397
93,27250,5/12/2023,1807,28010,0.4602739726027397
94,27500,5/12/2023,1647,28010,0.4602739726027397
95,27750,5/12/2023,1493,28010,0.4602739726027397
96,28000,5/12/2023,1347,28010,0.4602739726027397
97,28250,5/12/2023,1208,28010,0.4602739726027397
98,28500,5/12/2023,1076,28010,0.4602739726027397
99,28750,5/12/2023,953,28010,0.4602739726027397
100,29000,5/12/2023,838,28010,0.4602739726027397
101,29250,5/12/2023,732,28010,0.4602739726027397
102,29500,5/12/2023,634,28010,0.4602739726027397
103,29750,5/12/2023,545,28010,0.4602739726027397
104,30000,5/12/2023,466,28010,0.4602739726027397
105,30250,5/12/2023,394,28010,0.4602739726027397
106,30500,5/12/2023,332,28010,0.4602739726027397
107,30750,5/12/2023,277,28010,0.4602739726027397
108,31000,5/12/2023,230,28010,0.4602739726027397
109,31250,5/12/2023,189,28010,0.4602739726027397
110,31500,5/12/2023,155,28010,0.4602739726027397
111,31750,5/12/2023,126,28010,0.4602739726027397
112,32000,5/12/2023,102,28010,0.4602739726027397
113,32250,5/12/2023,82,28010,0.4602739726027397
114,32500,5/12/2023,65,28010,0.4602739726027397
115,27000,6/9/2023,2067,28010,0.536986301369863
116,27250,6/9/2023,1901,28010,0.536986301369863
117,27500,6/9/2023,1742,28010,0.536986301369863
118,27750,6/9/2023,1589,28010,0.536986301369863
119,28000,6/9/2023,1442,28010,0.536986301369863
120,28250,6/9/2023,1303,28010,0.536986301369863
121,28500,6/9/2023,1170,28010,0.536986301369863
122,28750,6/9/2023,1045,28010,0.536986301369863
123,29000,6/9/2023,928,28010,0.536986301369863
124,29250,6/9/2023,819,28010,0.536986301369863
125,29500,6/9/2023,718,28010,0.536986301369863
126,29750,6/9/2023,626,28010,0.536986301369863
127,30000,6/9/2023,541,28010,0.536986301369863
128,30250,6/9/2023,465,28010,0.536986301369863
129,30500,6/9/2023,397,28010,0.536986301369863
130,30750,6/9/2023,337,28010,0.536986301369863
131,31000,6/9/2023,284,28010,0.536986301369863
132,31250,6/9/2023,238,28010,0.536986301369863
133,31500,6/9/2023,198,28010,0.536986301369863
134,31750,6/9/2023,164,28010,0.536986301369863
135,32000,6/9/2023,135,28010,0.536986301369863
136,32250,6/9/2023,111,28010,0.536986301369863
137,32500,6/9/2023,90,28010,0.536986301369863
138,27000,7/14/2023,2156,27980,0.6328767123287671
139,27250,7/14/2023,1992,27980,0.6328767123287671
140,27500,7/14/2023,1834,27980,0.6328767123287671
141,27750,7/14/2023,1682,27980,0.6328767123287671
142,28000,7/14/2023,1537,27980,0.6328767123287671
143,28250,7/14/2023,1397,27980,0.6328767123287671
144,28500,7/14/2023,1265,27980,0.6328767123287671
145,28750,7/14/2023,1139,27980,0.6328767123287671
146,29000,7/14/2023,1021,27980,0.6328767123287671
147,29250,7/14/2023,910,27980,0.6328767123287671
148,29500,7/14/2023,806,27980,0.6328767123287671
149,29750,7/14/2023,711,27980,0.6328767123287671
150,30000,7/14/2023,623,27980,0.6328767123287671
151,30250,7/14/2023,543,27980,0.6328767123287671
152,30500,7/14/2023,470,27980,0.6328767123287671
153,30750,7/14/2023,405,27980,0.6328767123287671
154,31000,7/14/2023,346,27980,0.6328767123287671
155,31250,7/14/2023,295,27980,0.6328767123287671
156,31500,7/14/2023,249,27980,0.6328767123287671
157,31750,7/14/2023,210,27980,0.6328767123287671
158,32000,7/14/2023,176,27980,0.6328767123287671
159,32250,7/14/2023,146,27980,0.6328767123287671
160,32500,7/14/2023,121,27980,0.6328767123287671
161,27000,8/10/2023,2213,27945,0.7068493150684931
162,27250,8/10/2023,2051,27945,0.7068493150684931
163,27500,8/10/2023,1895,27945,0.7068493150684931
164,27750,8/10/2023,1744,27945,0.7068493150684931
165,28000,8/10/2023,1599,27945,0.7068493150684931
166,28250,8/10/2023,1460,27945,0.7068493150684931
167,28500,8/10/2023,1327,27945,0.7068493150684931
168,28750,8/10/2023,1202,27945,0.7068493150684931
169,29000,8/10/2023,1083,27945,0.7068493150684931
170,29250,8/10/2023,971,27945,0.7068493150684931
171,29500,8/10/2023,866,27945,0.7068493150684931
172,29750,8/10/2023,769,27945,0.7068493150684931
173,30000,8/10/2023,679,27945,0.7068493150684931
174,30250,8/10/2023,596,27945,0.7068493150684931
175,30500,8/10/2023,521,27945,0.7068493150684931
176,30750,8/10/2023,453,27945,0.7068493150684931
177,31000,8/10/2023,391,27945,0.7068493150684931
178,31250,8/10/2023,336,27945,0.7068493150684931
179,31500,8/10/2023,287,27945,0.7068493150684931
180,31750,8/10/2023,244,27945,0.7068493150684931
181,32000,8/10/2023,206,27945,0.7068493150684931
182,32250,8/10/2023,173,27945,0.7068493150684931
183,32500,8/10/2023,145,27945,0.7068493150684931
184,27000,9/8/2023,2319,27970,0.7863013698630137
185,27250,9/8/2023,2157,27970,0.7863013698630137
186,27500,9/8/2023,2000,27970,0.7863013698630137
187,27750,9/8/2023,1849,27970,0.7863013698630137
188,28000,9/8/2023,1703,27970,0.7863013698630137
189,28250,9/8/2023,1563,27970,0.7863013698630137
190,28500,9/8/2023,1429,27970,0.7863013698630137
191,28750,9/8/2023,1302,27970,0.7863013698630137
192,29000,9/8/2023,1181,27970,0.7863013698630137
193,29250,9/8/2023,1066,27970,0.7863013698630137
194,29500,9/8/2023,959,27970,0.7863013698630137
195,29750,9/8/2023,858,27970,0.7863013698630137
196,30000,9/8/2023,764,27970,0.7863013698630137
197,30250,9/8/2023,677,27970,0.7863013698630137
198,30500,9/8/2023,597,27970,0.7863013698630137
199,30750,9/8/2023,524,27970,0.7863013698630137
200,31000,9/8/2023,458,27970,0.7863013698630137
201,31250,9/8/2023,397,27970,0.7863013698630137
202,31500,9/8/2023,343,27970,0.7863013698630137
203,31750,9/8/2023,295,27970,0.7863013698630137
204,32000,9/8/2023,252,27970,0.7863013698630137
205,32250,9/8/2023,214,27970,0.7863013698630137
206,32500,9/8/2023,181,27970,0.7863013698630137
207,27000,12/8/2023,2441,27755,1.0356164383561643
208,27250,12/8/2023,2284,27755,1.0356164383561643
209,27500,12/8/2023,2132,27755,1.0356164383561643
210,27750,12/8/2023,1985,27755,1.0356164383561643
211,28000,12/8/2023,1843,27755,1.0356164383561643
212,28250,12/8/2023,1706,27755,1.0356164383561643
213,28500,12/8/2023,1575,27755,1.0356164383561643
214,28750,12/8/2023,1449,27755,1.0356164383561643
215,29000,12/8/2023,1329,27755,1.0356164383561643
216,29250,12/8/2023,1215,27755,1.0356164383561643
217,29500,12/8/2023,1106,27755,1.0356164383561643
218,29750,12/8/2023,1003,27755,1.0356164383561643
219,30000,12/8/2023,907,27755,1.0356164383561643
220,30250,12/8/2023,817,27755,1.0356164383561643
221,30500,12/8/2023,732,27755,1.0356164383561643
222,30750,12/8/2023,654,27755,1.0356164383561643
223,31000,12/8/2023,581,27755,1.0356164383561643
224,31250,12/8/2023,514,27755,1.0356164383561643
225,31500,12/8/2023,452,27755,1.0356164383561643
226,31750,12/8/2023,396,27755,1.0356164383561643
227,32000,12/8/2023,345,27755,1.0356164383561643
228,32250,12/8/2023,299,27755,1.0356164383561643
229,32500,12/8/2023,257,27755,1.0356164383561643
